ID,Smiles,Inhibition,MW,QED,SA_Score,TPSA,HBD,HBA,RotBonds,LogP,Lipinski,Veber
TRAIN_0000,Cl.OC1(Cc2cccc(Br)c2)CCNCC1,12.5,306.63,0.8799,3.7175,32.26,2,2,2,2.53,5,2
TRAIN_0001,Brc1ccc2OCCc3ccnc1c23,4.45,250.09,0.7167,3.7104,22.12,0,2,0,2.93,5,2
TRAIN_0002,CC1(CO)CC(=NO1)c2cc(c(F)cc2Cl)[N+](=O)[O-],4.92,288.66,0.6827,4.1963,84.96000000000001,1,5,3,2.26,5,2
TRAIN_0003,Fc1ccc2nc(Nc3cccc(COc4cccc(c4)C(=O)N5CCOCC5)c3)[nH]c2c1,71.5,446.48,0.4561,4.2517,79.48000000000002,2,5,6,4.5,5,2
TRAIN_0004,CC(C)CC(=O)C1=C(Nc2c(Cl)ccc(Cl)c2C1=O)S(=O)C,18.3,360.26,0.8437,4.2665,67.0,1,3,4,3.8,5,2
TRAIN_0005,O\C(=C\1/OCCN(Cc2ccccc2)C1=O)\C3CCOCC3,1.28,303.36,0.6871,3.9168,59.0,1,4,3,2.24,5,2
TRAIN_0006,CS(=O)(=O)OCC(COCc1c(F)cccc1F)OS(=O)(=O)C,8.18,374.38,0.5901,4.2988,95.97,0,7,9,0.8,5,2
TRAIN_0007,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC3CCCCO3,13.2,269.26,0.6026,4.4914,88.65,0,7,3,1.1,5,2
TRAIN_0008,Cc1cc(nc(Nc2ccc(C#N)c(c2)C(F)(F)F)n1)N3CCC(CC3)C(=O)NC(C)(C)C,64.9,460.5,0.6953,4.2004,93.94,2,6,4,4.55,5,2
TRAIN_0009,COC(=O)c1c(C)nc2N(C)CCc2c1OS(=O)(=O)C(F)(F)F,53.5,354.31,0.4606,3.8708,85.79999999999998,0,7,3,1.4,5,2
TRAIN_0010,FC(F)(F)C(F)(F)COCc1cc(N\N=C/2\N=C(OC2=O)c3ccccc3)ccc1Cl,91.8,461.77,0.3657,4.1501,72.28,1,5,7,4.78,5,2
TRAIN_0011,Fc1ccc2[nH]c(Nc3ncccc3OCc4cccc(c4)C#N)nc2c1,71.0,359.36,0.555,4.0655,86.61999999999999,2,5,5,4.29,5,2
TRAIN_0012,COC(=O)c1cc2cc(F)ccc2n1CC(=C)Cl,21.4,267.69,0.7991,3.7624,31.23,0,3,3,3.32,5,2
TRAIN_0013,CCc1cccc2C(=O)C(=C(NCCc3ccc(OC)c(OC)c3)Nc12)C(=O)C,85.4,394.47,0.5654,4.0937,80.42,2,5,8,3.96,5,2
TRAIN_0014,COc1ccc(cc1)[C@H](O)[C@H]2OCCN(Cc3ccccc3)C2=O,13.3,327.38,0.9141,4.6263,59.0,1,4,5,2.16,5,2
TRAIN_0015,Cc1nc(C)c(C(=O)NCc2ccccc2)c(c3ccc(Cl)cc3)c1C(=O)O,16.2,394.86,0.6599,4.0617,79.29,2,3,5,4.65,5,2
TRAIN_0016,CCCNC(=O)[C@@H]1CCCN1C(=S)Nc2ccccc2,8.62,291.42,0.8361,4.2641,44.370000000000005,2,2,4,2.37,5,2
TRAIN_0017,COc1ccc(CN2Cc3c(Cl)ccnc3C2=O)cc1OC,9.89,318.76,0.8695,3.8951,51.66,0,4,4,2.91,5,2
TRAIN_0018,CC(C)(C)OC(=O)N1CCC(CC1)c2nc(COc3ccc(cc3)n4cnnn4)cs2,31.2,442.55,0.5927,4.1735,95.26,0,9,5,3.81,5,2
TRAIN_0019,CSC1=C(C(=O)C)C(=O)c2cc(F)c(F)cc2N1,15.0,269.27,0.6734,3.7484,49.93,1,3,2,2.73,5,2
TRAIN_0020,CC(=C)COC(=O)C1OC(C)(C)OC1C(=O)OCC(=C)C,26.1,298.34,0.5493,4.478,71.06,0,6,6,1.75,5,2
